timeStep,prey,predators
1776,3646,348
1777,3588,347
1778,3603,344
1779,3588,341
1780,3590,340
1781,3599,340
1782,3580,341
1783,3589,341
1784,3607,341
1785,3516,342
1786,3562,343
1787,3554,341
1788,3503,338
1789,3470,337
1790,3447,338
1791,3426,339
1792,3475,340
1793,3487,341
1794,3377,337
1795,3391,337
1796,3369,335
1797,3372,334
1798,3398,334
1799,3382,338
1800,3324,335
1801,3288,335
1802,3346,336
1803,3318,337
1804,3297,337
1805,3303,337
1806,3306,339
1807,3290,340
1808,3249,341
1809,3228,337
1810,3222,339
1811,3244,337
1812,3269,338
1813,3232,339
1814,3191,339
1815,3211,339
1816,3182,340
1817,3169,340
1818,3130,342
1819,3182,340
1820,3121,338
1821,3131,340
1822,3086,339
1823,3110,338
1824,3052,341
1825,3007,346
1826,2995,349
1827,2994,349
1828,2926,351
1829,2979,352
1830,2982,362
1831,2922,359
1832,2978,364
1833,2971,364
1834,2957,359
1835,2930,360
1836,2891,360
1837,2951,357
1838,2907,357
1839,2843,357
1840,2829,354
1841,2833,355
1842,2877,352
1843,2839,351
1844,2807,352
1845,2806,353
1846,2763,352
1847,2767,350
1848,2752,352
1849,2776,349
1850,2737,346
1851,2771,343
1852,2738,341
1853,2704,339
1854,2722,339
1855,2699,338
1856,2658,336
1857,2681,337
1858,2645,337
1859,2586,340
1860,2627,341
1861,2567,341
1862,2537,339
1863,2589,335
1864,2564,331
1865,2558,332
1866,2551,332
1867,2535,329
1868,2560,332
1869,2495,336
1870,2501,334
1871,2463,338
1872,2439,342
1873,2460,341
1874,2460,343
1875,2462,344
1876,2482,346
1877,2430,347
1878,2406,349
1879,2413,347
1880,2428,347
1881,2453,343
1882,2503,344
1883,2425,342
1884,2404,336
1885,2413,336
1886,2363,335
1887,2350,333
1888,2299,336
1889,2350,336
1890,2338,338
